Málaga,Las Palmas,1,1,03/02/2002,La Rosaleda,Málaga,Carmona Méndez
Mallorca,Real Sociedad,0,2,24/03/2002,Son Moix,Palma,Téllez Sánchez
Valladolid,Villarreal,1,0,04/11/2001,Nuevo Zorrilla,Valladolid,Carmona Méndez
Valencia,Osasuna,2,1,24/03/2002,Mestalla,Valencia,Esquinas Torres
Alavés,Espanyol,2,1,11/11/2001,Mendizorroza,Vitoria,Turienzo Álvarez
Mallorca,Sevilla,0,4,24/02/2002,Son Moix,Palma,Turienzo Álvarez
Mallorca,Celta de Vigo,0,1,02/02/2002,Son Moix,Palma,Ansuategui Roca
Celta de Vigo,Espanyol,4,1,25/11/2001,Estadio de Balaídos,Vigo,Esquinas Torres
Sevilla,Real Madrid,0,1,30/03/2002,Ramón Sánchez Pizjuán,Sevilla,Pino Zamorano
Villarreal,Zaragoza,2,1,05/05/2002,El Madrigal,Villarreal,Pérez Lasa
Barcelona,Málaga,5,1,03/03/2002,Nou Camp (Nou Camp),Barcelona,Daudén Ibáñez
Deportivo de La Coruña,Celta de Vigo,2,2,30/09/2001,Nuevo Riazor,La Coruña,Undiano Mallenco
Valencia,Valladolid,1,2,20/01/2002,Mestalla,Valencia,Losantos Omar
Villarreal,Osasuna,3,0,08/09/2001,El Madrigal,Villarreal,Pino Zamorano
Real Sociedad,Alavés,1,2,19/01/2002,Anoeta,San Sebastián,López Nieto
Celta de Vigo,Tenerife,3,0,09/09/2001,Estadio de Balaídos,Vigo,Medina Cantalejo
Deportivo de La Coruña,Alavés,0,1,02/02/2002,Nuevo Riazor,La Coruña,Turienzo Álvarez
Sevilla,Alavés,2,0,28/04/2002,Ramón Sánchez Pizjuán,Sevilla,Puentes Leira
Osasuna,Espanyol,1,1,17/02/2002,El Sadar,Pamplona,Carmona Méndez
Betis,Barcelona,2,1,09/03/2002,Manuel Ruiz de Lopera (Manuel Ruiz de Lopera),n/d,Megía Dávila
Rayo Vallecano,Espanyol,2,2,06/02/2002,Teresa Rivero,Madrid,Losantos Omar
Zaragoza,Osasuna,0,1,23/09/2001,La Romareda,Zaragoza,Losantos Omar
Rayo Vallecano,Zaragoza,1,2,16/09/2001,Teresa Rivero,Madrid,Pérez Lasa
Osasuna,Alavés,0,1,11/05/2002,El Sadar,Pamplona,Mejuto González
Alavés,Barcelona,2,0,01/12/2001,Mendizorroza (Mendizorroza),Vitoria,Medina Cantalejo
Mallorca,Villarreal,0,1,30/09/2001,Son Moix,Palma,Medina Cantalejo
Málaga,Real Madrid,1,1,19/01/2002,La Rosaleda,Málaga,Mejuto González
Real Sociedad,Espanyol,1,0,17/03/2002,Anoeta,San Sebastián,Rodríguez Santiago
