,EquipoAnf,EquipoVis,ResulAnf,ResulVis,Fecha,Estadio,Ciudad,Arbitro,Provincia,tmed,prec
0,Deportivo de La Coruña,Athletic Club,2,0,2000-09-09,Nuevo Riazor,La Coruña,Andradas Asurmendi,A CORUÑA,20.400000000000002,0.1111111111111111
1,Barcelona,Málaga,2,1,2000-09-09,Nou Camp (Nou Camp),Barcelona,Mejuto González,BARCELONA,21.18,0.0
2,Real Sociedad,Racing de Santander,2,2,2000-09-09,Anoeta,San Sebastián,Prados García,GIPUZKOA,22.450000000000003,0.0
3,Real Madrid,Valencia,2,1,2000-09-09,Santiago Bernabéu,Madrid,Daudén Ibáñez,MADRID,24.150000000000002,0.0
4,Zaragoza,Espanyol,1,2,2000-09-09,La Romareda,Zaragoza,Turienzo Álvarez,ZARAGOZA,23.1,0.0
5,Villarreal,Rayo Vallecano,1,5,2000-09-10,El Madrigal,Villarreal,Pérez Burrull,CASTELLON,21.900000000000002,0.0
6,Mallorca,Valladolid,1,1,2000-09-10,Son Moix,Palma,Pérez Lasa,ILLES BALEARS,21.91111111111111,0.0
7,Las Palmas,Alavés,0,3,2000-09-10,Estadio Insular,Las Palmas de Gran Canaria,Puentes Leira,LAS PALMAS,22.899999999999995,0.0
8,Osasuna,Celta de Vigo,0,2,2000-09-10,El Sadar,Pamplona,Muñiz Fernández,NAVARRA,24.066666666666666,0.0
9,Numancia,Oviedo,1,0,2000-09-10,Los Pajaritos (Los Pajaritos),Soria,Undiano Mallenco,SORIA,23.3,0.0
10,Athletic Club,Barcelona,3,1,2000-09-16,San Mamés (San Mamés),Bilbao,Daudén Ibáñez,BIZKAIA,19.35,0.0
11,Racing de Santander,Deportivo de La Coruña,0,3,2000-09-16,Campos de Sport del Sardinero,Santander,Ramírez Domínguez,CANTABRIA,19.8,1.0999999999999999
12,Málaga,Real Madrid,3,3,2000-09-16,La Rosaleda,Málaga,Fernández Marín,MALAGA,23.2,0.0
13,Valladolid,Numancia,2,0,2000-09-16,Nuevo Zorrilla,Valladolid,García Aranda,VALLADOLID,19.933333333333334,0.0
